"flare","start.date","start.time","peak","end","duration.s","peak.c/s","total.counts","energy.kev","x.pos.asec","y.pos.asec","radial","active.region.ar","flag.1","flag.2","flag.3","flag.4","flag.5"
2021213,2002-02-12,21:29:56,21:33:38,21:41:48,712,136,167304,"12-25",592,-358,692,0,"A1","P1",NA,NA,NA
2021228,2002-02-12,21:44:08,21:45:06,21:48:56,288,7,9504,"6-12",604,-341,694,9811,"A1","P1","PE","Q1",NA
2021332,2002-02-13,00:53:24,00:54:54,00:57:00,216,15,11448,"6-12",-310,375,487,9825,"A1","P1",NA,NA,NA
2021308,2002-02-13,04:22:52,04:23:50,04:26:56,244,20,17400,"12-25",-277,378,469,9822,"A1","P1",NA,NA,NA
2021310,2002-02-13,07:03:52,07:05:14,07:07:48,236,336,313392,"25-50",-272,390,476,9825,"A1","GS","P1","PE","Q2"
2021353,2002-02-13,07:07:48,07:09:14,07:20:56,788,272,524304,"12-25",-271,389,474,9825,"A1","P1",NA,NA,NA
2021354,2002-02-13,07:20:56,07:22:42,07:30:04,548,28,52488,"6-12",-267,390,473,9825,"A1","P1",NA,NA,NA
2021312,2002-02-13,08:53:20,08:55:18,09:05:08,708,92,125352,"25-50",-362,309,476,0,"A1","P1",NA,NA,NA
2021339,2002-02-13,10:02:56,10:04:42,10:04:44,108,26,10368,"6-12",-235,390,455,9822,"A1","P1","PE","Q2","SE"
2021313,2002-02-13,12:29:32,12:30:58,12:33:24,232,26,16920,"12-25",-905,-375,980,0,"A1","P1",NA,NA,NA
2021329,2002-02-13,23:28:32,23:30:38,23:31:56,204,18,14688,"12-25",-237,295,379,9825,"A1","P1","PE","Q1",NA
2021355,2002-02-13,23:31:56,23:34:06,23:52:56,1260,56,91896,"12-25",-230,299,378,0,"A1","P1","PE","Q1",NA
2021425,2002-02-14,01:08:36,01:09:22,01:11:00,144,10,6288,"12-25",-85,404,413,9826,"A1","P1",NA,NA,NA
2021441,2002-02-14,06:05:08,06:07:46,06:12:00,412,28,44304,"12-25",-996,-82,999,0,"A1","P1",NA,NA,NA
2021413,2002-02-14,10:06:44,10:09:42,10:10:36,232,60,39168,"6-12",-135,310,338,0,"A1","GE","P1","PE","Q2"
2021467,2002-02-14,10:32:40,10:35:42,10:39:28,408,20,24552,"6-12",-899,-351,965,0,"A1","P1",NA,NA,NA
2021417,2002-02-14,13:50:12,13:54:34,13:59:32,560,168,219432,"12-25",-85,316,327,9825,"A1","P1",NA,NA,NA
2021468,2002-02-14,13:59:32,14:01:06,14:06:40,428,34,42456,"12-25",-80,319,329,9825,"A1","P1",NA,NA,NA
2021420,2002-02-14,17:03:32,17:05:58,17:11:40,488,22,26568,"12-25",-55,315,319,0,"A1","P1",NA,NA,NA
2021463,2002-02-14,22:05:20,22:14:14,22:19:28,848,27,63720,"6-12",104,413,426,9822,"A0","P1","PE","Q1",NA
2021423,2002-02-14,22:22:36,22:25:26,22:26:20,224,204,60633,"6-12",-83,317,328,9825,"A0","P1",NA,NA,NA
